tau,r,phi,t,E
3.739999999999653e+00,2.299156665836360e+00,1.449082696971972e+00,6.680947385210113e+00,-3.880176651045979e-02
3.759999999999651e+00,2.300513270973049e+00,1.455888966898525e+00,6.714815123661009e+00,-3.879918891439590e-02
3.779999999999649e+00,2.301869126090240e+00,1.462687216510931e+00,6.748667513066459e+00,-3.879668041776623e-02
3.799999999999647e+00,2.303224251088980e+00,1.469477464342110e+00,6.782504593739176e+00,-3.879424047688256e-02
3.819999999999645e+00,2.304578665743048e+00,1.476259728751739e+00,6.816326405616744e+00,-3.879186855552477e-02
3.839999999999642e+00,2.305932389699991e+00,1.483034027928034e+00,6.850132988265661e+00,-3.878956412482264e-02
3.859999999999640e+00,2.307285442482168e+00,1.489800379889523e+00,6.883924380885324e+00,-3.878732666314032e-02
3.879999999999638e+00,2.308637843487781e+00,1.496558802486789e+00,6.917700622311989e+00,-3.878515565596199e-02
3.899999999999636e+00,2.309989611991877e+00,1.503309313404203e+00,6.951461751022675e+00,-3.878305059578013e-02
3.919999999999634e+00,2.311340767147356e+00,1.510051930161628e+00,6.985207805138998e+00,-3.878101098198505e-02
3.939999999999631e+00,2.312691327985951e+00,1.516786670116119e+00,7.018938822431009e+00,-3.877903632075663e-02
3.959999999999629e+00,2.314041313419203e+00,1.523513550463589e+00,7.052654840320940e+00,-3.877712612495787e-02
3.979999999999627e+00,2.315390742239431e+00,1.530232588240471e+00,7.086355895886939e+00,-3.877527991402962e-02
3.999999999999625e+00,2.316739633120672e+00,1.536943800325348e+00,7.120042025866728e+00,-3.877349721388797e-02
4.019999999999623e+00,2.318088004619622e+00,1.543647203440579e+00,7.153713266661266e+00,-3.877177755682275e-02
4.039999999999621e+00,2.319435875176567e+00,1.550342814153899e+00,7.187369654338324e+00,-3.877012048139732e-02
4.059999999999619e+00,2.320783263116288e+00,1.557030648880005e+00,7.221011224636041e+00,-3.876852553235110e-02
4.079999999999616e+00,2.322130186648973e+00,1.563710723882127e+00,7.254638012966435e+00,-3.876699226050245e-02
4.099999999999614e+00,2.323476663871101e+00,1.570383055273576e+00,7.288250054418874e+00,-3.876552022265414e-02
4.119999999999612e+00,2.324822712766331e+00,1.577047659019285e+00,7.321847383763515e+00,-3.876410898149970e-02
4.139999999999610e+00,2.326168351206364e+00,1.583704550937324e+00,7.355430035454684e+00,-3.876275810553145e-02
4.159999999999608e+00,2.327513596951805e+00,1.590353746700408e+00,7.388998043634242e+00,-3.876146716895034e-02
4.179999999999605e+00,2.328858467653015e+00,1.596995261837382e+00,7.422551442134883e+00,-3.876023575157646e-02
4.199999999999603e+00,2.330202980850943e+00,1.603629111734699e+00,7.456090264483432e+00,-3.875906343876206e-02
4.219999999999601e+00,2.331547153977954e+00,1.610255311637868e+00,7.489614543904075e+00,-3.875794982130492e-02
4.239999999999599e+00,2.332891004358649e+00,1.616873876652906e+00,7.523124313321567e+00,-3.875689449536373e-02
4.259999999999597e+00,2.334234549210671e+00,1.623484821747762e+00,7.556619605364401e+00,-3.875589706237478e-02
4.279999999999594e+00,2.335577805645498e+00,1.630088161753728e+00,7.590100452367947e+00,-3.875495712896950e-02
4.299999999999592e+00,2.336920790669240e+00,1.636683911366840e+00,7.623566886377540e+00,-3.875407430689392e-02
4.319999999999590e+00,2.338263521183407e+00,1.643272085149262e+00,7.657018939151545e+00,-3.875324821292885e-02
4.339999999999588e+00,2.339606013985683e+00,1.649852697530654e+00,7.690456642164409e+00,-3.875247846881199e-02
4.359999999999586e+00,2.340948285770678e+00,1.656425762809526e+00,7.723880026609631e+00,-3.875176470116034e-02
4.379999999999583e+00,2.342290353130689e+00,1.662991295154590e+00,7.757289123402734e+00,-3.875110654139465e-02
4.399999999999581e+00,2.343632232556428e+00,1.669549308606078e+00,7.790683963184208e+00,-3.875050362566462e-02
4.419999999999579e+00,2.344973940437763e+00,1.676099817077064e+00,7.824064576322402e+00,-3.874995559477539e-02
4.439999999999577e+00,2.346315493064433e+00,1.682642834354762e+00,7.857430992916385e+00,-3.874946209411528e-02
4.459999999999575e+00,2.347656906626769e+00,1.689178374101821e+00,7.890783242798797e+00,-3.874902277358413e-02
4.479999999999572e+00,2.348998197216388e+00,1.695706449857594e+00,7.924121355538649e+00,-3.874863728752361e-02
4.499999999999570e+00,2.350339380826908e+00,1.702227075039407e+00,7.957445360444086e+00,-3.874830529464787e-02
4.519999999999568e+00,2.351680473354615e+00,1.708740262943810e+00,7.990755286565157e+00,-3.874802645797542e-02
4.539999999999566e+00,2.353021490599155e+00,1.715246026747811e+00,8.024051162696519e+00,-3.874780044476247e-02
4.559999999999564e+00,2.354362448264208e+00,1.721744379510110e+00,8.057333017380117e+00,-3.874762692643665e-02
4.579999999999561e+00,2.355703361958142e+00,1.728235334172307e+00,8.090600878907859e+00,-3.874750557853226e-02
4.599999999999559e+00,2.357044247194677e+00,1.734718903560108e+00,8.123854775324226e+00,-3.874743608062602e-02
4.619999999999557e+00,2.358385119393528e+00,1.741195100384513e+00,8.157094734428901e+00,-3.874741811627449e-02
4.639999999999555e+00,2.359725993881046e+00,1.747663937242999e+00,8.190320783779308e+00,-3.874745137295168e-02
4.659999999999553e+00,2.361066885890858e+00,1.754125426620685e+00,8.223532950693203e+00,-3.874753554198809e-02
4.679999999999550e+00,2.362407810564473e+00,1.760579580891492e+00,8.256731262251151e+00,-3.874767031851042e-02
4.699999999999548e+00,2.363748782951923e+00,1.767026412319282e+00,8.289915745299055e+00,-3.874785540138239e-02
4.719999999999546e+00,2.365089818012359e+00,1.773465933058996e+00,8.323086426450605e+00,-3.874809049314636e-02
4.739999999999544e+00,2.366430930614652e+00,1.779898155157783e+00,8.356243332089720e+00,-3.874837529996560e-02
4.759999999999541e+00,2.367772135537995e+00,1.786323090556099e+00,8.389386488372971e+00,-3.874870953156783e-02
