tau,r,phi,t,E
2.260000000000002e-01,4.898411960138588e+00,0.000000000000000e+00,2.832285902168527e-01,-2.073897432231048e-03
2.270000000000002e-01,4.897960122545198e+00,0.000000000000000e+00,2.844851197898563e-01,-2.083313765359474e-03
2.280000000000002e-01,4.897508264109804e+00,0.000000000000000e+00,2.857416791012599e-01,-2.092732270433981e-03
2.290000000000002e-01,4.897056384828557e+00,0.000000000000000e+00,2.869982681593314e-01,-2.102152948256233e-03
2.300000000000002e-01,4.896604484697610e+00,0.000000000000000e+00,2.882548869723426e-01,-2.111575799628340e-03
2.310000000000002e-01,4.896152563713116e+00,0.000000000000000e+00,2.895115355485687e-01,-2.121000825352742e-03
2.320000000000002e-01,4.895700621871224e+00,0.000000000000000e+00,2.907682138962884e-01,-2.130428026232353e-03
2.330000000000002e-01,4.895248659168083e+00,0.000000000000000e+00,2.920249220237843e-01,-2.139857403070489e-03
2.340000000000002e-01,4.894796675599841e+00,0.000000000000000e+00,2.932816599393424e-01,-2.149288956670839e-03
2.350000000000002e-01,4.894344671162645e+00,0.000000000000000e+00,2.945384276512524e-01,-2.158722687837539e-03
2.360000000000002e-01,4.893892645852639e+00,0.000000000000000e+00,2.957952251678076e-01,-2.168158597375097e-03
2.370000000000002e-01,4.893440599665968e+00,0.000000000000000e+00,2.970520524973050e-01,-2.177596686088454e-03
2.380000000000002e-01,4.892988532598774e+00,0.000000000000000e+00,2.983089096480451e-01,-2.187036954782937e-03
2.390000000000002e-01,4.892536444647199e+00,0.000000000000000e+00,2.995657966283320e-01,-2.196479404264318e-03
2.400000000000002e-01,4.892084335807383e+00,0.000000000000000e+00,3.008227134464738e-01,-2.205924035338744e-03
2.410000000000002e-01,4.891632206075466e+00,0.000000000000000e+00,3.020796601107816e-01,-2.215370848812806e-03
2.420000000000002e-01,4.891180055447584e+00,0.000000000000000e+00,3.033366366295707e-01,-2.224819845493484e-03
2.430000000000002e-01,4.890727883919874e+00,0.000000000000000e+00,3.045936430111597e-01,-2.234271026188145e-03
2.440000000000002e-01,4.890275691488473e+00,0.000000000000000e+00,3.058506792638710e-01,-2.243724391704602e-03
2.450000000000002e-01,4.889823478149512e+00,0.000000000000000e+00,3.071077453960305e-01,-2.253179942851097e-03
2.460000000000002e-01,4.889371243899125e+00,0.000000000000000e+00,3.083648414159679e-01,-2.262637680436219e-03
2.470000000000002e-01,4.888918988733445e+00,0.000000000000000e+00,3.096219673320165e-01,-2.272097605269030e-03
